Resource Name,Resource Type,Source,Topics Covered,More Info
Neuronal Communication,Lesson video,University of Utah,Neural networks and synapses,"<a href=""../resource/Neuronalcommunication_UniversityofUtah.html"" target = ""_blank"">Click Here</a>"
Sounds of Neuroscience,Lesson,University of Washington,AP cell recordings,"<a href=""../resource/Soundsofneuroscience_UniversityofWashington.html"" target = ""_blank"">Click Here</a>"
Neural Ciruit,Game,University of Utah,Neuronal connections,"<a href=""../resource/Neuralciruit_UniversityofUtah.html"" target = ""_blank"">Click Here</a>"
Action Potential,Interactive Lesson,University of Minnesota,Action Potential,"<a href=""../resource/ActionPotential_UniversityofMinnesota.html"" target = ""_blank"">Click Here</a>"
