Resource Name,Resource Type,Source,Topics Covered,More Info
What is inheritance?,Animated Video,University of Utah,"Gene transfer, reproduction","<a href=""../resource/whatisinheritance_UniversityofUtah.html"">Learn More</a>"
DNA Sequence Bracelets,Activity,Your Genome,"Base pairs, gene sequence differences between species","<a href=""../resource/DNASequence_YourGenome.html"">Learn More</a>"
What is a mutation?,Animated Video,University of Utah,Issues that cause mutations,"<a href=""../resource/whatisamutation_UniversityofUtah.html"">Learn More</a>"
