Resource Name,Resource Type,Source,Topics Covered,More Info
3D Human Brain Anatomy,Interactive lesson,Koshland Science Museum,Human brain anatomy,"<a href=""../resource/3Dhumanbrainanatomy_KoshlandScienceMuseum.html target = ""_blank"">Click Here</a>"
Structure of human brain,Lesson,University of Texas,Structure and function of different parts of the human brain,"<a href=""../resource/Structureofhumanbrain_UniversityofTexas.html"" target = ""_blank"">Click Here</a>"
Functional Neuroanatomy,Interactive lesson,The University of British Columbia,"Brain anatomy, MRIs and crosssections","<a href=""../resource/Functionalneuroanatomy_TheUniversityofBritishColumbia.html"" target = ""_blank"">Click Here</a>"
Virtual Human Brain Model,Interactive lesson,Albany Medical College,Neuroanatomy,"<a href=""../resource/Virtualhumanbrain_AlbanyMedicalCollege.html"" target = ""_blank"">Click Here</a>"
Neuroanatomy,Interactive lesson,Society of Neuroscience,Anatomy of the human brain,"<a href=""../resource/Neuroanatomy_SocietyofNeuroscience.html"" target = ""_blank"">Click Here</a>"
