Resource Name,Resource Type,Source,Topics Covered,More Info
Elements,Video Collection,Periodic Videos,"Elements, chemical reactions, compounds, experimental methods, element history and uses","<a href=""../resource/Elements_PeriodicVideos.html"" target = ""_blank"">Click Here</a>"
Periodic Trends,Video,Professor Dave Explains,"Elements, periodic table, groups, periods, valence electrons, electron energy levels, atomic radius, ionic radius, electron affinity, electronegativity, ionization energy","<a href=""../resource/Periodictrends_ProfDave.html"" target = ""_blank"">Click Here</a>"
Periodic Trends,Interactive Tool,Royal Society of Chemistry,"Elements, periodic table, density, atomic radius, electronegativity, melting point, boiling point, first ionization energy","<a href=""../resource/Periodictrends_RSC.html"" target = ""_blank"">Click Here</a>"
