Resource Name,Resource Type,Source,Topics Covered,More Info
Element Trading Cards,Activity Plan,Science Spot,"Elements, periodic table, protons, neutrons, electrons, element uses","<a href=""../resource/Elementcards_ScienceSpot.html"" target = ""_blank"">Click Here</a>"
Periodic Table Battleship,Activity Plan,Destination Imagination,"Elements, periodic table","<a href=""../resource/Periodicbattleship_DI.html"" target = ""_blank"">Click Here</a>"
Periodic Table Song,Video,ASAP Science,"Elements, periodic table, element uses","<a href=""../resource/Elementsong_ASAPScience.html"" target = ""_blank"">Click Here</a>"
