Resource Name,Resource Type,Source,Topics Covered,More Info
Periodic Table and Bonding,Lesson Plans,ACS,"Elements, periodic table, atomic structure, atomic number, atomic mass, atomic symbol, electron energy levels, covalent bonding, ionic bonding, Lewis dot diagrams","<a href=""../resource/Periodictable_ACS.html"">Learn More</a>"
Element Bingo,Game,Michigan Explore Lab Science,"Elements, periodic table, atomic number, atomic mass, atomic symbol, oxidation number, element uses","<a href=""../resource/Elementbingo_Mich.html"">Learn More</a>"
Periodic Table and Games,Interactive Tool and Games,Jefferson Lab,"Elements, atomic number, atomic mass, melting point, boiling point, density, element classification, periods and groups, element history and uses, isotopes, oxidation states, electron shell configuration","<a href=""../resource/Periodictableandgames_JLab.html"">Learn More</a>"
