Resource Name,Resource Type,Source,Topics Covered,More Info
What is inheritance?,Animated Video,University of Utah,"Gene transfer, reproduction","<a href=""../resource/whatisinheritance_UniversityofUtah.html"" target = ""_blank"">Click Here</a>"
DNA Sequence Bracelets,Activity,Your Genome,"Base pairs, gene sequence differences between species","<a href=""../resource/DNASequence_YourGenome.html"" target = ""_blank"">Click Here</a>"
What is a mutation?,Animated Video,University of Utah,Issues that cause mutations,"<a href=""../resource/whatisamutation_UniversityofUtah.html"" target = ""_blank"">Click Here</a>"
